L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,802,R,7,Y,190,C,1,S,7,X,156,K,14,K,24,K,1,X,1,Y,1,C,1,S,7,R,7,"L1:[sp=C,802] R=7,Y=190,C=1,S=7,X=156,K=14 || L2:[sp=K,24] K=1,X=1,Y=1,C=1,S=7,R=7",-11643401.0,-15317.8,1,C|K,1
C,48,S,7,R,7,Y,1,X,1,K,1,C,1,C,1,X,1,K,1,S,7,C,1,R,7,Y,1,"L1:[sp=C,48] S=7,R=7,Y=1,X=1,K=1,C=1 || L2:[sp=C,1] X=1,K=1,S=7,C=1,R=7,Y=1",-152076801.0,-1272530.0,1,C|C,1
Y,332,R,7,K,44,Y,196,C,3,S,7,X,86,K,33,S,7,X,1,C,1,K,1,Y,1,R,7,"L1:[sp=Y,332] R=7,K=44,Y=196,C=3,S=7,X=86 || L2:[sp=K,33] S=7,X=1,C=1,K=1,Y=1,R=7",-18843055.0,-15046.3,1,Y|K,1
C,802,Y,55,R,7,C,1,S,7,K,47,X,156,K,24,X,1,K,1,Y,1,C,1,S,7,R,7,"L1:[sp=C,802] Y=55,R=7,C=1,S=7,K=47,X=156 || L2:[sp=K,24] X=1,K=1,Y=1,C=1,S=7,R=7",-6986045.0,-15209.4,1,C|K,1
Y,434,C,1,S,7,X,17,K,53,Y,190,R,7,X,1,R,7,C,1,K,1,Y,1,S,7,X,1,"L1:[sp=Y,434] C=1,S=7,X=17,K=53,Y=190,R=7 || L2:[sp=X,1] R=7,C=1,K=1,Y=1,S=7,X=1",-389679439.0,-40861.0,1,Y|X,1
K,48,S,7,R,7,Y,1,X,1,K,20,C,1,C,1,C,1,X,1,S,7,K,1,R,7,Y,1,"L1:[sp=K,48] S=7,R=7,Y=1,X=1,K=20,C=1 || L2:[sp=C,1] C=1,X=1,S=7,K=1,R=7,Y=1",-139863133.0,-1345490.0,1,K|C,1
C,191,Y,163,X,210,K,53,S,7,R,7,C,1,Y,91,R,7,K,1,C,1,S,7,Y,1,X,62,"L1:[sp=C,191] Y=163,X=210,K=53,S=7,R=7,C=1 || L2:[sp=Y,91] R=7,K=1,C=1,S=7,Y=1,X=62",-2201481.0,-15214.4,1,C|Y,1
C,576,Y,124,X,55,C,3,K,62,R,7,S,7,X,46,R,7,Y,1,C,1,S,7,X,1,K,1,"L1:[sp=C,576] Y=124,X=55,C=3,K=62,R=7,S=7 || L2:[sp=X,46] R=7,Y=1,C=1,S=7,X=1,K=1",-16407569.0,-14808.9,1,C|X,1
Y,434,C,1,S,7,X,17,K,53,Y,190,R,7,X,1,S,7,C,1,K,1,Y,1,R,7,X,1,"L1:[sp=Y,434] C=1,S=7,X=17,K=53,Y=190,R=7 || L2:[sp=X,1] S=7,C=1,K=1,Y=1,R=7,X=1",-389679439.0,-40861.0,1,Y|X,1
Y,332,R,7,K,44,C,3,Y,196,S,7,X,219,K,33,S,7,X,1,C,1,K,1,Y,1,R,7,"L1:[sp=Y,332] R=7,K=44,C=3,Y=196,S=7,X=219 || L2:[sp=K,33] S=7,X=1,C=1,K=1,Y=1,R=7",-86439.0,-694.992,1,Y|K,1
Y,332,R,7,K,57,C,3,Y,196,S,7,X,219,K,33,S,7,X,1,C,1,K,1,Y,1,R,7,"L1:[sp=Y,332] R=7,K=57,C=3,Y=196,S=7,X=219 || L2:[sp=K,33] S=7,X=1,C=1,K=1,Y=1,R=7",-inf,-inf,0,Y|K,1
