L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,56,X,218,Y,1,C,1,K,1,S,4,R,7,C,1,X,1,S,1,C,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=218,Y=1,C=1,K=1,S=4,R=7 || L2:[sp=C,1] X=1,S=1,C=1,Y=1,K=1,R=1",-3172894081.0,-163323000.0,1,X|C,1
X,56,X,59,Y,1,C,1,K,1,R,2,S,1,C,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=59,Y=1,C=1,K=1,R=2,S=1 || L2:[sp=C,1] X=1,C=1,S=1,Y=1,K=1,R=1",-248760961.0,-163323000.0,1,X|C,1
X,56,X,12,Y,1,C,1,K,1,R,7,S,1,C,1,X,2,C,1,R,1,Y,1,K,1,S,1,"L1:[sp=X,56] X=12,Y=1,C=1,K=1,R=7,S=1 || L2:[sp=C,1] X=2,C=1,R=1,Y=1,K=1,S=1",-172572289.0,-163323000.0,1,X|C,1
X,45,K,1,S,1,X,1,R,1,C,2,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=X,45] K=1,S=1,X=1,R=1,C=2,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-7024641.0,-163323000.0,1,X|C,1
C,56,X,12,Y,1,S,1,K,1,R,7,C,1,C,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=C,56] X=12,Y=1,S=1,K=1,R=7,C=1 || L2:[sp=C,1] X=1,C=1,S=1,Y=1,K=1,R=1",-1073815681.0,-163323000.0,1,C|C,1
X,56,X,1,Y,1,C,1,K,1,R,1,S,1,C,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,C=1,S=1,Y=1,K=1,R=1",-inf,-inf,0,X|C,1
X,45,K,1,S,1,X,1,R,1,C,3,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=X,45] K=1,S=1,X=1,R=1,C=3,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-5619713.0,-163323000.0,1,X|C,1
X,56,C,1,Y,1,X,1,K,1,R,1,S,1,C,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=X,56] C=1,Y=1,X=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,C=1,S=1,Y=1,K=1,R=1",-8429569.0,-163323000.0,1,X|C,1
X,56,Y,1,X,1,C,3,K,1,R,1,S,1,C,1,X,1,S,1,C,2,R,1,K,1,Y,1,"L1:[sp=X,56] Y=1,X=1,C=3,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=2,R=1,K=1,Y=1",-5619713.0,-163323000.0,1,X|C,1
Y,45,K,1,S,1,X,1,R,1,C,1,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=Y,45] K=1,S=1,X=1,R=1,C=1,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-8429569.0,-163323000.0,1,Y|C,1
