L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,163,K,6,S,7,Y,222,C,3,R,5,X,222,C,3,Y,1,S,2,R,2,X,1,K,4,C,1,"L1:[sp=X,163] K=6,S=7,Y=222,C=3,R=5,X=222 || L2:[sp=C,3] Y=1,S=2,R=2,X=1,K=4,C=1",-3159.0,-163323000.0,1,X|C,1
K,163,K,6,S,5,Y,222,R,6,X,222,C,3,K,6,R,2,S,5,X,1,K,2,Y,1,C,2,"L1:[sp=K,163] K=6,S=5,Y=222,R=6,X=222,C=3 || L2:[sp=K,6] R=2,S=5,X=1,K=2,Y=1,C=2",-485.0,-163323000.0,1,K|K,1
K,163,R,7,S,4,Y,222,C,3,X,164,K,25,Y,3,Y,6,S,1,R,2,K,2,X,1,C,3,"L1:[sp=K,163] R=7,S=4,Y=222,C=3,X=164,K=25 || L2:[sp=Y,3] Y=6,S=1,R=2,K=2,X=1,C=3",-inf,-inf,0,K|Y,1
K,163,K,6,S,4,Y,222,C,3,R,6,X,222,C,3,Y,1,S,2,R,2,X,1,K,4,C,3,"L1:[sp=K,163] K=6,S=4,Y=222,C=3,R=6,X=222 || L2:[sp=C,3] Y=1,S=2,R=2,X=1,K=4,C=3",-1157.0,-163323000.0,1,K|C,1
K,163,C,3,S,7,Y,222,K,6,R,5,X,222,C,3,Y,1,S,2,R,2,X,1,K,1,C,3,"L1:[sp=K,163] C=3,S=7,Y=222,K=6,R=5,X=222 || L2:[sp=C,3] Y=1,S=2,R=2,X=1,K=1,C=3",-885.0,-163323000.0,1,K|C,1
K,163,K,6,S,7,Y,222,C,3,R,5,X,222,C,3,Y,1,S,2,R,2,X,1,K,4,C,1,"L1:[sp=K,163] K=6,S=7,Y=222,C=3,R=5,X=222 || L2:[sp=C,3] Y=1,S=2,R=2,X=1,K=4,C=1",-297.0,-163323000.0,1,K|C,1
C,163,K,6,S,1,Y,222,X,68,R,6,C,3,K,3,Y,1,S,1,R,2,X,1,K,4,C,1,"L1:[sp=C,163] K=6,S=1,Y=222,X=68,R=6,C=3 || L2:[sp=K,3] Y=1,S=1,R=2,X=1,K=4,C=1",-1656425.0,-163323000.0,1,C|K,1
K,163,K,6,S,7,Y,222,C,3,R,5,X,222,C,3,Y,1,S,2,R,3,X,1,K,4,C,3,"L1:[sp=K,163] K=6,S=7,Y=222,C=3,R=5,X=222 || L2:[sp=C,3] Y=1,S=2,R=3,X=1,K=4,C=3",-1767.0,-163323000.0,1,K|C,1
K,163,K,6,S,7,Y,222,C,3,R,5,X,222,C,3,Y,1,S,2,R,2,X,1,K,4,C,1,"L1:[sp=K,163] K=6,S=7,Y=222,C=3,R=5,X=222 || L2:[sp=C,3] Y=1,S=2,R=2,X=1,K=4,C=1",-297.0,-163323000.0,1,K|C,1
K,163,C,3,S,7,Y,104,K,6,R,5,X,222,C,3,Y,1,S,2,R,2,X,1,K,6,C,3,"L1:[sp=K,163] C=3,S=7,Y=104,K=6,R=5,X=222 || L2:[sp=C,3] Y=1,S=2,R=2,X=1,K=6,C=3",-inf,-inf,0,K|C,1
K,163,C,1,R,5,S,4,Y,222,X,222,K,6,K,6,X,1,S,1,R,2,K,2,Y,1,C,1,"L1:[sp=K,163] C=1,R=5,S=4,Y=222,X=222,K=6 || L2:[sp=K,6] X=1,S=1,R=2,K=2,Y=1,C=1",-601.0,-163323000.0,1,K|K,1
K,163,K,55,X,222,C,3,R,7,S,4,Y,222,K,55,X,1,Y,1,R,7,K,5,S,2,C,1,"L1:[sp=K,163] K=55,X=222,C=3,R=7,S=4,Y=222 || L2:[sp=K,55] X=1,Y=1,R=7,K=5,S=2,C=1",-843.0,-163323000.0,1,K|K,1
K,163,K,6,S,4,Y,222,R,5,X,173,C,3,K,6,R,5,S,2,X,1,K,2,Y,1,C,1,"L1:[sp=K,163] K=6,S=4,Y=222,R=5,X=173,C=3 || L2:[sp=K,6] R=5,S=2,X=1,K=2,Y=1,C=1",-108009.0,-163323000.0,1,K|K,1
K,163,K,55,S,2,C,3,R,7,X,222,Y,108,K,6,X,1,Y,6,R,2,K,5,S,1,C,2,"L1:[sp=K,163] K=55,S=2,C=3,R=7,X=222,Y=108 || L2:[sp=K,6] X=1,Y=6,R=2,K=5,S=1,C=2",-inf,-inf,0,K|K,1
K,163,K,6,S,5,Y,222,R,6,X,222,C,3,K,6,R,2,S,5,X,1,K,2,C,2,Y,1,"L1:[sp=K,163] K=6,S=5,Y=222,R=6,X=222,C=3 || L2:[sp=K,6] R=2,S=5,X=1,K=2,C=2,Y=1",-485.0,-163323000.0,1,K|K,1
K,163,C,1,S,5,R,6,Y,222,X,55,K,6,K,3,R,2,S,4,K,2,X,1,Y,1,C,1,"L1:[sp=K,163] C=1,S=5,R=6,Y=222,X=55,K=6 || L2:[sp=K,3] R=2,S=4,K=2,X=1,Y=1,C=1",-64561.0,-163323000.0,1,K|K,1
K,163,S,4,Y,222,K,6,C,3,R,6,X,222,C,3,Y,1,S,2,X,1,R,2,K,4,C,3,"L1:[sp=K,163] S=4,Y=222,K=6,C=3,R=6,X=222 || L2:[sp=C,3] Y=1,S=2,X=1,R=2,K=4,C=3",-1157.0,-163323000.0,1,K|C,1
