L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,4,X,1,R,2,Y,1,S,1,K,1,C,1,X,84,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=C,4] X=1,R=2,Y=1,S=1,K=1,C=1 || L2:[sp=X,84] R=1,Y=1,K=1,S=1,X=1,C=1",-153452545.0,-163323000.0,1,C|X,1
X,95,S,1,K,1,R,1,C,1,Y,1,X,177,K,7,S,1,X,1,K,1,C,1,Y,1,R,1,"L1:[sp=X,95] S=1,K=1,R=1,C=1,Y=1,X=177 || L2:[sp=K,7] S=1,X=1,K=1,C=1,Y=1,R=1",-68898817.0,-163323000.0,1,X|K,1
C,153,Y,137,R,2,S,1,X,1,C,2,K,3,Y,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=1,X=1,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=2,S=1,Y=1",-5220097.0,-163323000.0,1,C|Y,1
X,95,S,2,K,1,R,2,C,1,X,30,Y,1,K,7,S,1,X,1,K,1,C,1,Y,1,R,1,"L1:[sp=X,95] S=2,K=1,R=2,C=1,X=30,Y=1 || L2:[sp=K,7] S=1,X=1,K=1,C=1,Y=1,R=1",-24062593.0,-163323000.0,1,X|K,1
X,4,X,1,R,1,Y,1,S,1,K,1,C,1,C,1,R,1,Y,1,K,1,S,1,X,1,C,1,"L1:[sp=X,4] X=1,R=1,Y=1,S=1,K=1,C=1 || L2:[sp=C,1] R=1,Y=1,K=1,S=1,X=1,C=1",-1548289.0,-163323000.0,1,X|C,1
Y,153,R,2,Y,137,S,2,X,30,C,1,K,3,Y,12,K,1,R,1,S,1,X,1,C,1,Y,1,"L1:[sp=Y,153] R=2,Y=137,S=2,X=30,C=1,K=3 || L2:[sp=Y,12] K=1,R=1,S=1,X=1,C=1,Y=1",-4792129.0,-163323000.0,1,Y|Y,1
X,155,X,30,K,7,Y,19,C,2,R,3,S,2,X,3,K,1,S,1,R,1,C,1,Y,1,X,1,"L1:[sp=X,155] X=30,K=7,Y=19,C=2,R=3,S=2 || L2:[sp=X,3] K=1,S=1,R=1,C=1,Y=1,X=1",-4676449.0,-163323000.0,1,X|X,1
C,153,Y,137,R,2,S,1,X,1,C,2,K,3,Y,12,X,1,R,1,C,1,K,2,S,1,Y,1,"L1:[sp=C,153] Y=137,R=2,S=1,X=1,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=2,S=1,Y=1",-5220097.0,-163323000.0,1,C|Y,1
C,153,Y,137,R,3,S,2,X,30,C,1,K,3,Y,12,X,1,R,1,C,1,K,1,Y,1,S,1,"L1:[sp=C,153] Y=137,R=3,S=2,X=30,C=1,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,Y=1,S=1",-2661825.0,-163323000.0,1,C|Y,1
X,153,Y,137,R,2,S,1,X,30,C,2,K,3,Y,12,X,1,R,1,C,1,K,1,S,1,Y,1,"L1:[sp=X,153] Y=137,R=2,S=1,X=30,C=2,K=3 || L2:[sp=Y,12] X=1,R=1,C=1,K=1,S=1,Y=1",-inf,-inf,0,X|Y,1
